status	path	owners	hunks	changed_lines
A	src/kodezart/core/node_sessions.py	M4	1	57
A	src/kodezart/core/organize_settings.py	M2	1	9
A	src/kodezart/core/owned_tasks.py	M1	1	28
M	src/kodezart/core/prompt_namespaces.py	M1	11	92
M	src/kodezart/core/prompt_rendering.py	M1	1	4
M	src/kodezart/core/protocols.py	M1,M2,M3,M4,M5,M6,M7	61	684
M	src/kodezart/core/retry.py	M1	3	8
M	src/kodezart/core/stream_drain.py	M1	4	9
A	src/kodezart/core/tracker_settings.py	M1	1	72
M	src/kodezart/domain/accept_gate.py	M3	19	70
M	src/kodezart/domain/agent.py	M3	2	18
A	src/kodezart/domain/assertion_drift.py	M7	1	58
A	src/kodezart/domain/authored_outcome.py	M3	1	47
A	src/kodezart/domain/check_chain.py	M5	1	68
A	src/kodezart/domain/comment_markers.py	M1	1	37
M	src/kodezart/domain/criteria.py	M3	8	45
M	src/kodezart/domain/criteria_feasibility.py	M2	13	66
M	src/kodezart/domain/criteria_grading.py	M3	2	4
A	src/kodezart/domain/criterion_creation.py	M2	1	54
A	src/kodezart/domain/criterion_evidence.py	M4	1	35
M	src/kodezart/domain/dispatch.py	M3	5	13
M	src/kodezart/domain/errors.py	M1,M2,M3,M4,M5,M6,M7	5	465
A	src/kodezart/domain/escalation_resolution.py	M4	1	70
A	src/kodezart/domain/fire_spec.py	M3	1	128
A	src/kodezart/domain/gap.py	M3	1	49
M	src/kodezart/domain/git_url.py	M1	1	2
A	src/kodezart/domain/issue_tree.py	M1	1	124
A	src/kodezart/domain/lane_record.py	M4	1	76
A	src/kodezart/domain/mandate_graph.py	M2	1	246
A	src/kodezart/domain/organize.py	M2	1	147
M	src/kodezart/domain/outcome.py	M5	7	56
M	src/kodezart/domain/pr_body.py	M5	2	15
M	src/kodezart/domain/prompt_variables.py	M1	3	60
A	src/kodezart/domain/rulings.py	M4	1	79
A	src/kodezart/domain/run_alarm_record.py	M7	1	95
A	src/kodezart/domain/run_event_stream.py	M4	1	112
A	src/kodezart/domain/run_shape.py	M7	1	532
A	src/kodezart/domain/scope_approval.py	M1	1	67
A	src/kodezart/domain/self_writes.py	M1	1	55
M	src/kodezart/domain/stall_report.py	M5	2	4
A	src/kodezart/domain/surface_lease.py	M1	1	145
M	src/kodezart/domain/ticket.py	M3	3	14
A	src/kodezart/domain/topology.py	M3	1	126
A	src/kodezart/domain/tracker_writes.py	M1	1	58
M	src/kodezart/domain/workflow_state.py	M3	6	81
M	src/kodezart/handlers/agent_handler.py	M1	7	78
M	src/kodezart/main.py	M1,M3,M4	30	264
A	src/kodezart/prompts/sets/anthropic_v5/audit_claim.md	M6	1	16
A	src/kodezart/prompts/sets/anthropic_v5/audit_detection_removal.md	M6	1	34
A	src/kodezart/prompts/sets/anthropic_v5/audit_mandate.md	M6	1	17
A	src/kodezart/prompts/sets/anthropic_v5/audit_overclaim.md	M6	1	34
M	src/kodezart/prompts/sets/anthropic_v5/content_audit.md	M6	6	43
M	src/kodezart/prompts/sets/anthropic_v5/criteria_validation.md	M3	2	6
M	src/kodezart/prompts/sets/anthropic_v5/evaluation.md	M3	1	2
M	src/kodezart/prompts/sets/anthropic_v5/fire_prep_pass.md	M2	1	2
A	src/kodezart/prompts/sets/anthropic_v5/fire_record.md	M4	1	14
M	src/kodezart/prompts/sets/anthropic_v5/grooming_pass.md	M2	1	7
A	src/kodezart/prompts/sets/anthropic_v5/organize_assess.md	M2	1	48
A	src/kodezart/prompts/sets/anthropic_v5/organize_author.md	M2	1	59
A	src/kodezart/prompts/sets/anthropic_v5/organize_criteria_author.md	M2	1	66
A	src/kodezart/prompts/sets/anthropic_v5/organize_verify.md	M2	1	49
M	src/kodezart/prompts/sets/anthropic_v5/post_merge_review.md	M3	1	2
M	src/kodezart/prompts/sets/anthropic_v5/pr_description.md	M5	1	3
M	src/kodezart/prompts/sets/anthropic_v5/set.toml	M1,M2,M4,M6	4	13
A	src/kodezart/prompts/sets/anthropic_v5/write_back_verify.md	M4	1	20
M	src/kodezart/prompts/sets/claude-opus/acceptance_criteria.md	M2	2	4
